"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YJL052W",13178.3220154818,-5.16875783746241,0.200181613763378,-25.8103227624804,6.79078622688448e-147,3.78314700699734e-143,"Mature_vs_Early","S000003588","TDH1","853395","TDH1"
"YGL055W",2352.2693340143,-4.57353564824542,0.188097863919021,-24.2808963670664,3.12029521470947e-130,8.69158232057323e-127,"Mature_vs_Early","S000003023","OLE1","852825","OLE1"
"YIR019C",10425.377635097,5.4424813214028,0.224739530880418,24.2080376197988,1.83081102316276e-129,3.39981607001324e-126,"Mature_vs_Early","S000001458","FLO11","854836","FLO11"
"YGR087C",512.645887784479,-4.86813627946014,0.203878588236593,-23.6508661463186,1.15634108904231e-123,1.61049405176368e-120,"Mature_vs_Early","S000003319","PDC6","852978","PDC6"
"YHR094C",673.17594605345,-4.94415445778936,0.210779808565908,-23.2919509048356,5.34942262543456e-120,5.96032668925919e-117,"Mature_vs_Early","S000001136","HXT1","856494","HXT1"
"YNR073C",1904.60928137111,7.66638946419688,0.327807352859717,22.6046663305989,3.89911756682874e-113,3.62033066080049e-110,"Mature_vs_Early","S000005356","MAN2","855810","MAN2"
"YNR071C",1051.54485673005,8.30806761264726,0.353246707774358,21.3735398600584,2.35577346421457e-101,1.87485913844848e-98,"Mature_vs_Early","S000005354",NA,"855808","YNR071C"
"YKL164C",350.387715124862,3.91943124842282,0.185064600762382,21.0848205424328,1.09628684715743e-98,7.63426753189257e-96,"Mature_vs_Early","S000001647","PIR1","853692","PIR1"
"YJR152W",1286.15812408254,-3.39423538215163,0.161091708737356,-21.0487414572704,2.34832905687801e-98,1.45361568620749e-95,"Mature_vs_Early","S000003913","DAL5","853617","DAL5"
"YCR012W",5526.26246218179,-4.11437529671366,0.206595606671498,-19.9078272184556,3.48087635146277e-88,1.93919621539991e-85,"Mature_vs_Early","S000000605","PGK1","850370","PGK1"
"YNR072W",852.138446820917,5.22472432100592,0.26128528096493,19.8321289402022,1.57241515186975e-87,7.96356801006032e-85,"Mature_vs_Early","S000005355","HXT17","855809","HXT17"
"YOR273C",430.743887212398,-3.93007125191154,0.201815411808308,-19.3799142958967,1.140366927621e-83,5.29415346148048e-81,"Mature_vs_Early","S000005799","TPO4","854447","TPO4"
"YJL158C",230.917948709932,4.34526369254237,0.22491684617943,19.0866515843645,3.26007827698998e-81,1.39706892931624e-78,"Mature_vs_Early","S000003694","CIS3","853282","CIS3"
"YGR088W",705.642702769732,-4.36403641878637,0.234561043567314,-18.5332954668781,1.11259592274631e-76,4.42733706115691e-74,"Mature_vs_Early","S000003320","CTT1","852979","CTT1"
"YPL095C",392.27142771151,-3.74466906426721,0.213116201029808,-17.495104991515,1.56124509901163e-68,5.79846429772921e-66,"Mature_vs_Early","S000006016","EEB1","856010","EEB1"
"YPL106C",1644.31591736139,3.22936432610146,0.18553357865439,17.3994171187542,8.33466983441529e-68,2.90202785297048e-65,"Mature_vs_Early","S000006027","SSE1","855998","SSE1"
"YGR060W",488.709315524868,-2.89010915746472,0.168329649392664,-17.1388761484959,7.61075034143119e-66,2.49408765600666e-63,"Mature_vs_Early","S000003292","ERG25","852951","ERG25"
"YGR125W",996.022272676271,-2.30901046071717,0.136719989377695,-16.881135835581,6.19415082046716e-64,1.91708967893459e-61,"Mature_vs_Early","S000003357","VSB1","853026","VSB1"
"YJL212C",246.409071050221,-4.99773615928396,0.29122726189813,-16.7043838362151,1.21779438633438e-62,3.57070132961517e-60,"Mature_vs_Early","S000003748","OPT1","853218","OPT1"
"YOR247W",221.212452786464,3.83578912642285,0.228747309097346,16.6262860948647,4.49614091708346e-62,1.2524000524536e-59,"Mature_vs_Early","S000005773","SRL1","854421","SRL1"
"YKR075C",303.994308974511,3.27598211228043,0.200110477784504,16.3312308356117,5.9178295739538e-60,1.56991564554746e-57,"Mature_vs_Early","S000001783",NA,"853950","YKR075C"
"YNR034W-A",5131.83819900285,5.93060312741451,0.368395884657065,16.0989799655859,2.59344815489531e-58,6.56731803223716e-56,"Mature_vs_Early","S000007525","EGO4","855770","EGO4"
"YER103W",1544.38701767233,4.47071565769181,0.27750757622576,16.0896016482475,3.01772726489755e-58,7.30946025771488e-56,"Mature_vs_Early","S000000905","SSA4","856840","SSA4"
"YMR145C",424.744414831377,3.18288435540312,0.199281976042987,15.9394766663088,3.37165572208446e-57,7.82645584488856e-55,"Mature_vs_Early","S000004753","NDE1","855176","NDE1"
"YHR174W",706.449736345158,-3.25180340418585,0.205783140535367,-15.776410831706,4.52180148242084e-56,1.00763824234266e-53,"Mature_vs_Early","S000001217","ENO2","856579","ENO2"
"YKL001C",222.921322882365,3.5709356987012,0.226070104469515,15.7161984516254,1.17144909925557e-55,2.51005497382799e-53,"Mature_vs_Early","S000001484","MET14","853869","MET14"
"YNL036W",551.689704053751,3.71934454287377,0.236457814384255,15.689992542882,1.77076381066772e-55,3.65367599601106e-53,"Mature_vs_Early","S000004981","NCE103","855692","NCE103"
"YKR097W",375.168314065009,3.90003342152013,0.250154380554378,15.3887926075771,1.94630186929116e-53,3.87244561207894e-51,"Mature_vs_Early","S000001805","PCK1","853972","PCK1"
"YPR167C",271.482859750209,4.0306730297391,0.260996923488079,15.3509735686206,3.48910582464696e-53,6.70269260314077e-51,"Mature_vs_Early","S000006371","MET16","856296","MET16"
"YBR054W",2828.5593834931,-2.3669914620229,0.154374102705596,-15.3310542833046,4.74226634281915e-53,8.80638859861515e-51,"Mature_vs_Early","S000000258","YRO2","852343","YRO2"
"YFR030W",744.54973083512,3.25175270537165,0.214707973523518,15.1320879997901,9.94879896296914e-52,1.7878954523452e-49,"Mature_vs_Early","S000001926","MET10","850588","MET10"
"YAL038W",2235.99446417223,-2.69650194441864,0.184256732338458,-14.6308690292609,1.78492612193281e-48,3.1074448204024e-46,"Mature_vs_Early","S000000036","CDC19","851193","CDC19"
"YKL060C",8624.41712549603,-2.20555606318873,0.153045255670927,-14.4105648472915,4.44063764178654e-47,7.49660372799782e-45,"Mature_vs_Early","S000001543","FBA1","853805","FBA1"
"YLL026W",5323.41449314402,3.32845474060172,0.231594324079142,14.3683002596492,8.18146231146712e-47,1.34055666285833e-44,"Mature_vs_Early","S000003949","HSP104","850633","HSP104"
"YFR015C",191.210765186538,3.70774616035323,0.256737165497834,14.3234026457847,1.56280184947662e-46,2.48753402955264e-44,"Mature_vs_Early","S000001911","GSY1","850569","GSY1"
"YLR327C",1169.20394492017,5.95225114755373,0.418568482153119,14.1369834481173,2.24712242783075e-45,3.47742195706809e-43,"Mature_vs_Early","S000004319","TMA10","851037","TMA10"
"YBL049W",266.582437056188,-2.88810173570767,0.204849764963068,-14.0569776928479,6.98042441305495e-45,1.05102552446295e-42,"Mature_vs_Early","S000000145","MOH1","852231","MOH1"
"YDR432W",293.044899925069,3.03202352760853,0.216259597326195,13.9951456684415,1.66887386994864e-44,2.44665692881154e-42,"Mature_vs_Early","S000002840","NPL3","852042","NPL3"
"YMR280C",404.878159967849,2.4220349143477,0.173196277620005,13.9739248796727,2.24883937500933e-44,3.21238055337872e-42,"Mature_vs_Early","S000004893","CAT8","855323","CAT8"
"YDR403W",111.055458893402,4.06870513450838,0.287245204858527,13.9444454381584,3.40081097307752e-44,4.73647948275372e-42,"Mature_vs_Early","S000002811","DIT1","852012","DIT1"
"YHR087W",404.6365573666,3.80505674452709,0.272254353751387,13.9355565285903,3.85186169129744e-44,5.23383450785806e-42,"Mature_vs_Early","S000001129","RTC3","856487","RTC3"
"YBR117C",204.515565468977,2.89112621685728,0.207065396878996,13.9264657862084,4.37473443626151e-44,5.80277274866974e-42,"Mature_vs_Early","S000000321","TKL2","852414","TKL2"
"YOL128C",189.088427324181,-3.48163184305401,0.249486140559973,-13.8442663780915,1.37780217022722e-43,1.78505485821763e-41,"Mature_vs_Early","S000005488","YGK3","853992","YGK3"
"YOL126C",195.312717599124,-3.3018256982634,0.237727773092305,-13.7969532440244,2.65853282525993e-43,3.36606508398252e-41,"Mature_vs_Early","S000005486","MDH2","853994","MDH2"
"YDR085C",267.256585194172,2.807706264003,0.203691409921458,13.7600863540112,4.42997429861433e-43,5.48430818168454e-41,"Mature_vs_Early","S000002492","AFR1","851658","AFR1"
"YER053C",4056.03801373775,2.68481990492039,0.195190273068944,13.7536636977613,4.841436732503e-43,5.86340087755962e-41,"Mature_vs_Early","S000000855","PIC2","856779","PIC2"
"YPL111W",158.632082550348,3.12440366059615,0.228178707934485,13.6185559244856,3.10649635406824e-42,3.68218961457748e-40,"Mature_vs_Early","S000006032","CAR1","855993","CAR1"
"YLR142W",2582.14070125317,-1.8390828701929,0.136089170627462,-13.512599182737,1.31785168007064e-41,1.52953160618199e-39,"Mature_vs_Early","S000004132","PUT1","850833","PUT1"
"YPR127W",355.5423166077,2.43587175930665,0.180144436562699,13.5086459095619,1.39055585183859e-41,1.58097686746792e-39,"Mature_vs_Early","S000006331",NA,"856245","YPR127W"
"YPR036W-A",1310.28957278736,3.62267432299976,0.269103379851808,13.4549504208647,2.87932373923659e-41,3.2081425102574e-39,"Mature_vs_Early","S000028425","SPO24","856149","SPO24"
"YBR072W",2101.11093304118,3.91431747285397,0.292871099306874,13.3630573030563,9.93962753331619e-41,1.08575813702166e-38,"Mature_vs_Early","S000000276","HSP26","852364","HSP26"
