"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YGR087C",512.645887784479,-4.70149161089378,0.188286254508547,-24.8375912963339,3.52132674055049e-136,1.96173112716068e-132,"Thin_vs_Early","S000003319","PDC6","852978","PDC6"
"YCR105W",610.523669222728,7.05725616081116,0.304738706870081,22.4710207123804,7.97375822156227e-112,2.22109035261617e-108,"Thin_vs_Early","S000000702","ADH7","850469","ADH7"
"YHR094C",673.17594605345,-4.02956592579851,0.191605488859307,-20.9835724273226,9.26638759098633e-98,1.72076817564616e-94,"Thin_vs_Early","S000001136","HXT1","856494","HXT1"
"YKR097W",375.168314065009,5.10372637082315,0.247174825761538,20.282730771509,1.82701286927802e-91,2.54457217368696e-88,"Thin_vs_Early","S000001805","PCK1","853972","PCK1"
"YGR088W",705.642702769732,-4.74748315656552,0.234079678883379,-20.2035167440306,9.11677342860665e-91,1.01579089541535e-87,"Thin_vs_Early","S000003320","CTT1","852979","CTT1"
"YNR073C",1904.60928137111,6.70285030629528,0.327961149905843,19.8243570071591,1.83511384630903e-87,1.70390320629794e-84,"Thin_vs_Early","S000005356","MAN2","855810","MAN2"
"YNR072W",852.138446820917,4.71990007144167,0.261413839059996,17.925589190482,7.44575392126013e-72,5.92575644219146e-69,"Thin_vs_Early","S000005355","HXT17","855809","HXT17"
"YPL095C",392.27142771151,-3.68629850932636,0.206371653625501,-17.8110189909509,5.80434278039554e-71,4.04199920369795e-68,"Thin_vs_Early","S000006016","EEB1","856010","EEB1"
"YOR273C",430.743887212398,-3.22772809861401,0.186164078235245,-17.308209413716,4.079040293094e-67,2.52492594142519e-64,"Thin_vs_Early","S000005799","TPO4","854447","TPO4"
"YDL243C",658.080217379517,4.22853346642544,0.24543097725502,17.1823471748128,3.60044013153499e-66,2.00580519727814e-63,"Thin_vs_Early","S000002402","AAD4","851354","AAD4"
"YNL141W",202.857306710196,-3.27325222988066,0.204728063042905,-15.920674505753,4.55440521667802e-57,2.30659922382848e-54,"Thin_vs_Early","S000005085","AAH1","855581","AAH1"
"YLR377C",412.980886828524,4.21831592046496,0.265557512270605,15.8020342408473,3.01236862204122e-56,1.39849213278264e-53,"Thin_vs_Early","S000004369","FBP1","851092","FBP1"
"YGR201C",158.135015927399,-3.66449547539784,0.235064936940211,-15.4659392890956,5.89076939717218e-54,2.52442125474202e-51,"Thin_vs_Early","S000003433",NA,"853115","YGR201C"
"YNL036W",551.689704053751,3.36236150807762,0.236263326850325,14.2021864955289,8.8797957709358e-46,3.53352444570596e-43,"Thin_vs_Early","S000004981","NCE103","855692","NCE103"
"YNR071C",1051.54485673005,5.36044963876239,0.355185830564225,14.0520484976004,7.48375307089738e-45,2.77946589053129e-42,"Thin_vs_Early","S000005354",NA,"855808","YNR071C"
"YPR036W-A",1310.28957278736,3.77668977314891,0.268796562577182,14.040889952337,8.76055380399472e-45,3.05031532762841e-42,"Thin_vs_Early","S000028425","SPO24","856149","SPO24"
"YJL052W",13178.3220154818,-2.72616144057731,0.198154360417461,-13.7537812815864,4.83357251690506e-43,1.5839901465693e-40,"Thin_vs_Early","S000003588","TDH1","853395","TDH1"
