"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","85/1031","205/5557",0.414634146341463,2.23484185375316,8.59772194241758,7.06747036432702e-15,1.10747260609004e-11,1.0110202342232e-11,"YJL052W/YMR145C/YIL045W/YPL262W/YMR118C/YCR012W/YFR015C/YLR446W/YNR001C/YLR174W/YOL126C/YLR044C/YGR256W/YOL086C/YJL116C/YGR248W/YMR002W/YJR048W/YKL152C/YLR164W/YER065C/YOR393W/YKL060C/YNL031C/YBR196C/YNL052W/YPL061W/YJR009C/YNL037C/YPL075W/YPL271W/YDR050C/YBL030C/YAL038W/YGL187C/YMR315W/YJR121W/YDL067C/YOR136W/YPR001W/YHR174W/YGR043C/YDR529C/YBR117C/YNL117W/YIL111W/YDR487C/YIL070C/YLR087C/YOR356W/YPR184W/YHR051W/YFR049W/YPR191W/YBR238C/YGR244C/YNL242W/YDL021W/YKL035W/YLR038C/YML070W/YJL200C/YLR395C/YLR134W/YNL241C/YOL136C/YOR095C/YBL021C/YGR240C/YOL045W/YDL085W/YIL099W/YKR058W/YLR304C/YNR034W/YIL024C/YER067W/YFL053W/YPL252C/YOR344C/YMR256C/YKL127W/YJR120W/YOR347C/YMR323W",85
"GO:0005975","GO:0005975","carbohydrate metabolic process","93/1031","249/5557",0.373493975903614,2.01309992637865,7.80620004696312,6.93269942993945e-13,5.43177000335756e-10,4.95870448699353e-10,"YKR097W/YNR073C/YLR377C/YNR071C/YJL052W/YMR145C/YJL034W/YIL045W/YIL155C/YOR047C/YIL053W/YCR012W/YFR015C/YLR446W/YNR001C/YNR067C/YMR305C/YLR174W/YOL126C/YLR044C/YGR256W/YOL086C/YDR074W/YGR248W/YPL201C/YKL152C/YER065C/YJR096W/YGL062W/YOR393W/YER062C/YKL060C/YHL032C/YBR196C/YPR026W/YIL162W/YJR009C/YPL075W/YOL059W/YHR043C/YLR189C/YDR050C/YDL022W/YAL038W/YBR299W/YCL018W/YPR001W/YHR174W/YGR189C/YEL070W/YML028W/YGR043C/YHR104W/YNL117W/YKL038W/YPR184W/YER003C/YGR143W/YMR215W/YNL242W/YDL021W/YKL035W/YLR286C/YFR042W/YML070W/YMR278W/YJR159W/YLR134W/YNL241C/YOL136C/YBR297W/YOR095C/YLR300W/YOL132W/YGR240C/YOL045W/YIL123W/YDL085W/YIL099W/YKR058W/YNR034W/YIL024C/YGL028C/YCL039W/YFL053W/YDL049C/YOR344C/YJR030C/YKL127W/YHR210C/YGR287C/YOR347C/YMR323W",93
"GO:0072521","GO:0072521","purine-containing compound metabolic process","74/1031","186/5557",0.397849462365591,2.14437387232356,7.57617514328762,5.13791012264467e-12,2.68370172072806e-09,2.44997187953477e-09,"YNL141W/YJL052W/YMR145C/YIL155C/YCR012W/YKL016C/YLR446W/YNR001C/YOR317W/YLR174W/YGR256W/YOL086C/YJL116C/YGR248W/YDR322C-A/YKL152C/YDL004W/YOR393W/YKL060C/YLR231C/YBR196C/YPL061W/YJR009C/YPL075W/YOL059W/YPL271W/YDR050C/YDL022W/YAL038W/YMR315W/YJR121W/YNL129W/YJL005W/YML075C/YHR174W/YDL238C/YGR043C/YPL078C/YMR207C/YBR117C/YLR295C/YIR028W/YDR226W/YML081C-A/YGR244C/YDL021W/YKR080W/YHR202W/YMR278W/YNL241C/YOL136C/YOR095C/YIR027C/YOR128C/YGR240C/YPR020W/YOR222W/YDL085W/YGL126W/YOR054C/YDR400W/YOL077W-A/YPL273W/YJR078W/YNR034W/YML022W/YOR344C/YDR319C/YJR019C/YGL234W/YOR347C/YMR323W/YBR252W/YER170W",74
"GO:0006163","GO:0006163","purine nucleotide metabolic process","59/1031","136/5557",0.433823529411765,2.3382709533862,7.54096593239029,1.20385982231514e-11,4.71612085391958e-09,4.30538289085864e-09,"YJL052W/YMR145C/YIL155C/YCR012W/YKL016C/YLR446W/YLR174W/YGR256W/YOL086C/YJL116C/YGR248W/YDR322C-A/YKL152C/YDL004W/YOR393W/YKL060C/YLR231C/YBR196C/YPL061W/YJR009C/YPL075W/YOL059W/YPL271W/YDR050C/YDL022W/YAL038W/YMR315W/YJR121W/YNL129W/YJL005W/YHR174W/YGR043C/YPL078C/YBR117C/YLR295C/YDR226W/YML081C-A/YDL021W/YKR080W/YHR202W/YNL241C/YOL136C/YOR095C/YOR128C/YGR240C/YPR020W/YOR222W/YDL085W/YDR400W/YOL077W-A/YJR078W/YNR034W/YML022W/YOR344C/YGL234W/YOR347C/YMR323W/YBR252W/YER170W",59
"GO:0046034","GO:0046034","ATP metabolic process","30/1031","49/5557",0.612244897959184,3.29994655476157,7.71741748640248,3.87178426053454e-11,1.21341718725152e-08,1.10773785475083e-08,"YJL052W/YCR012W/YKL016C/YLR446W/YJL116C/YDR322C-A/YKL152C/YDL004W/YOR393W/YKL060C/YBR196C/YJR009C/YPL075W/YPL271W/YDR050C/YAL038W/YJR121W/YHR174W/YPL078C/YLR295C/YDR226W/YML081C-A/YDL021W/YOL136C/YGR240C/YPR020W/YOL077W-A/YOR344C/YOR347C/YMR323W",30
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","32/1031","56/5557",0.571428571428571,3.07995011777747,7.46585046404441,1.11638298457142e-10,2.91562022803903e-08,2.66169206321502e-08,"YJL052W/YCR012W/YKL016C/YLR446W/YJL116C/YDR322C-A/YKL152C/YDL004W/YOR393W/YKL060C/YBR196C/YJR009C/YPL075W/YPL271W/YDR050C/YAL038W/YJR121W/YHR174W/YPL078C/YLR295C/YDR226W/YML081C-A/YDL021W/YOL136C/YGR240C/YPR020W/YOL077W-A/YOR344C/YOR347C/YMR323W/YBR252W/YER170W",32
"GO:0002181","GO:0002181","cytoplasmic translation","67/1031","172/5557",0.38953488372093,2.09955901924075,6.99106099504208,1.64449413123216e-10,3.65844911973779e-08,3.33982625447463e-08,"YNCL0027W/YJR094W-A/YJL190C/YDR500C/YHR141C/YDL081C/YHR010W/YML063W/YGR085C/YER131W/YMR194W/YER074W/YPR043W/YGL076C/YML024W/YLR075W/YFR032C-A/YER117W/YOR312C/YIL052C/YDL130W/YDR471W/YIL148W/YML026C/YML091C/YNL096C/YKR094C/YGL031C/YGR148C/YDL075W/YLR264W/YNL178W/YPL079W/YDR447C/YPL119C/YDL191W/YEL054C/YGL147C/YBR191W/YFR031C-A/YNCL0014C/YPL249C-A/YLR287C-A/YOL120C/YNL069C/YOR096W/YGL103W/YNL067W/YPR102C/YOL045W/YLR448W/YER056C-A/YDL184C/YOR293W/YIL069C/YLR325C/YMR260C/YMR242C/YNL175C/YKL006W/YDL082W/YJR014W/YOL039W/YNCL0018W/YLR212C/YJL189W/YLR136C",67
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","31/1031","54/5557",0.574074074074074,3.09420914610051,7.38023773723463,1.86774683841113e-10,3.65844911973779e-08,3.33982625447463e-08,"YJL052W/YCR012W/YKL016C/YLR446W/YJL116C/YDR322C-A/YKL152C/YDL004W/YOR393W/YKL060C/YBR196C/YJR009C/YPL075W/YPL271W/YDR050C/YAL038W/YJR121W/YHR174W/YPL078C/YLR295C/YDR226W/YML081C-A/YDL021W/YOL136C/YGR240C/YPR020W/YOL077W-A/YOR344C/YOR347C/YMR323W/YER170W",31
"GO:0072523","GO:0072523","purine-containing compound catabolic process","28/1031","46/5557",0.608695652173913,3.28081642980644,7.41322564474246,2.14223126818722e-10,3.72986266361041e-08,3.40502022627652e-08,"YNL141W/YJL052W/YCR012W/YLR446W/YNR001C/YKL152C/YOR393W/YKL060C/YBR196C/YJR009C/YPL075W/YDR050C/YAL038W/YHR174W/YDL238C/YDL021W/YHR202W/YMR278W/YOL136C/YIR027C/YGR240C/YGL126W/YDR400W/YOR344C/YDR319C/YOR347C/YMR323W/YBR252W",28
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","41/1031","85/5557",0.482352941176471,2.59984024647686,7.09359211665969,3.43753586764003e-10,5.38661870459193e-08,4.91748552012927e-08,"YJL052W/YMR145C/YIL155C/YCR012W/YLR446W/YLR174W/YGR256W/YOL086C/YGR248W/YKL152C/YOR393W/YKL060C/YLR231C/YBR196C/YPL061W/YJR009C/YPL075W/YOL059W/YDR050C/YDL022W/YAL038W/YMR315W/YNL129W/YHR174W/YGR043C/YNL200C/YBR117C/YDL021W/YHR202W/YNL241C/YOL136C/YOR095C/YGR240C/YOR222W/YDL085W/YDR400W/YJR078W/YNR034W/YOR344C/YOR347C/YMR323W",41
