"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","GO:0055085","transmembrane transport","190/1759","449/5557",0.423162583518931,1.33684734315787,5.06602595527893,4.59816718346368e-07,0.00075317978465135,0.000707149711056888,"YHR094C/YJR152W/YNR072W/YOR273C/YGR125W/YJL212C/YER103W/YOL126C/YER053C/YLR092W/YKR039W/YOR020C/YDR345C/YJL034W/YMR319C/YDL210W/YPL271W/YMR088C/YPL092W/YEL069C/YDR529C/YJR095W/YKL016C/YGL253W/YNL142W/YPR191W/YNL101W/YGR243W/YOR045W/YML081C-A/YOR348C/YLR152C/YHL016C/YLR004C/YDR536W/YOR065W/YKR093W/YDR322C-A/YPR115W/YOL077W-A/YLR447C/YEL063C/YJR121W/YHL028W/YER056C/YJR045C/YPL274W/YNL055C/YPR194C/YOR390W/YGL008C/YNL070W/YGR138C/YKL195W/YHL008C/YGR260W/YCR011C/YOR306C/YNL305C/YJL193W/YBL099W/YPL078C/YJL166W/YKL073W/YER019C-A/YOR161C/YNL065W/YMR155W/YAL005C/YFL050C/YKL217W/YMR221C/YOL027C/YDR406W/YPL265W/YLR237W/YBL030C/YDR119W/YGR257C/YEL065W/YIL166C/YBR235W/YKL197C/YNL121C/YBR298C/YOL130W/YDR086C/YGL139W/YGL077C/YHR092C/YCR098C/YGR191W/YPR124W/YIR028W/YFR033C/YCR037C/YDL067C/YMR256C/YER060W/YIL088C/YCL038C/YNR017W/YLR259C/YNR055C/YDR338C/YPL026C/YBR295W/YGL186C/YLR378C/YKR016W/YOR011W/YPR156C/YDR270W/YEL027W/YPL063W/YOL137W/YOR232W/YCR028C/YPR133W-A/YHR162W/YBR043C/YDR343C/YDL206W/YOR100C/YLR295C/YDL138W/YCR023C/YHR039C-A/YFL054C/YOL075C/YGR217W/YCL005W-A/YHL036W/YLL053C/YML116W/YKL120W/YEL064C/YML055W/YPR020W/YDR352W/YMR279C/YBR091C/YEL006W/YJR106W/YGL080W/YER039C/YNL329C/YDL092W/YOL044W/YGL254W/YPR128C/YHR096C/YBR180W/YFL055W/YAL053W/YPL189W/YBR132C/YBR127C/YBL042C/YHR175W/YOR328W/YBR021W/YLR188W/YKR103W/YIL090W/YMR058W/YHL040C/YBR220C/YHR002W/YIL121W/YOL092W/YJL108C/YPR058W/YCL025C/YDL183C/YPL036W/YGR121C/YNL291C/YPL098C/YKR104W/YIL006W/YPR201W/YCR075C/YML123C/YML030W/YPR011C/YKL084W/YKR105C/YJR124C/YOR079C",190
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","96/1759","205/5557",0.468292682926829,1.47942151166822,4.75962736903069,2.68978756068446e-06,0.00220293601220057,0.0020683050664,"YJL052W/YCR012W/YMR145C/YHR174W/YAL038W/YKL060C/YFR015C/YBR117C/YOL126C/YER067W/YMR002W/YPL271W/YHR183W/YJL116C/YKL152C/YDR529C/YER065C/YGL253W/YPR191W/YMR105C/YKL085W/YOL086C/YKL148C/YLR134W/YGR254W/YOR065W/YIR031C/YPL262W/YPL075W/YJR121W/YLR258W/YBR196C/YOL136C/YOR178C/YOR374W/YGR043C/YJR120W/YFL018C/YNL037C/YDR050C/YJL166W/YMR030W/YEL039C/YEL011W/YCR005C/YLR044C/YER054C/YJL045W/YNR074C/YBL030C/YLR154W-C/YJR009C/YLR164W/YNR001C/YLR446W/YBR010W/YOR344C/YNL241C/YJL137C/YFR003C/YFR033C/YNL117W/YFR049W/YDL067C/YMR081C/YMR256C/YDL021W/YPL061W/YDR148C/YOR355W/YLR087C/YKR058W/YGR240C/YPL252C/YFR017C/YLR174W/YMR311C/YPR184W/YGL226W/YGR256W/YDR031W/YOR002W/YML070W/YDL085W/YIL050W/YIL057C/YOL056W/YGL134W/YBR238C/YNL169C/YFR021W/YOR347C/YFL053W/YGL256W/YKL055C/YPR001W",96
"GO:0046034","GO:0046034","ATP metabolic process","31/1759","49/5557",0.63265306122449,1.99866575396503,4.7781281090399,4.84167861663046e-06,0.00252755287110816,0.00237308318532808,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YPL271W/YJL116C/YKL152C/YKL016C/YGL253W/YML081C-A/YGR254W/YDR322C-A/YOL077W-A/YPL075W/YJR121W/YBR196C/YOL136C/YDR050C/YBL099W/YPL078C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YLR295C/YPR020W/YOL056W/YOR347C/YBR127C",31
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","82/1759","172/5557",0.476744186046512,1.50612134272909,4.58841382086583,6.17229028353641e-06,0.00252755287110816,0.00237308318532808,"YJL052W/YGL055W/YCR012W/YPL095C/YHR174W/YAL038W/YKL060C/YMR280C/YHR183W/YKL152C/YOL002C/YBL015W/YER065C/YGL253W/YCL018W/YMR246W/YLR134W/YGR254W/YMR170C/YIR031C/YPL075W/YBR196C/YJL196C/YOL136C/YOR374W/YFL018C/YKL182W/YGL062W/YLR231C/YDR050C/YFR055W/YPR006C/YMR272C/YBR218C/YEL071W/YML054C/YGL205W/YOR391C/YLR044C/YIR033W/YPL231W/YJR009C/YHR067W/YBR112C/YKR009C/YLR446W/YOR344C/YNL117W/YLL027W/YMR207C/YDL021W/YPL280W/YLR153C/YPL061W/YOR363C/YEL020C/YGR240C/YER010C/YLR174W/YNR016C/YOR100C/YGR256W/YIR023W/YDL015C/YIL009W/YMR169C/YJL060W/YJR019C/YOL056W/YER061C/YOR040W/YPR128C/YER073W/YOR347C/YJL097W/YDR539W/YPR002W/YLR380W/YOR388C/YKL055C/YPR001W/YNL202W",82
"GO:0043436","GO:0043436","oxoacid metabolic process","154/1759","366/5557",0.420765027322404,1.32927302832894,4.43514419578844,9.07248655034101e-06,0.00297214659389172,0.00279050586316805,"YJL052W/YGL055W/YGR087C/YCR012W/YPL095C/YHR174W/YKL001C/YPR167C/YAL038W/YKL060C/YMR280C/YOL126C/YPL111W/YLR142W/YKR034W/YLR303W/YKR069W/YPR035W/YHR183W/YNL277W/YKL152C/YOL002C/YJR010W/YBL015W/YER065C/YGL253W/YCL018W/YDR089W/YAL012W/YIR017C/YKL085W/YMR246W/YCL064C/YMR009W/YLR438W/YLR134W/YGR254W/YMR170C/YIR031C/YPL262W/YPL075W/YBR196C/YJL196C/YOL136C/YER052C/YOR374W/YIL074C/YFL018C/YKL182W/YGL062W/YNL037C/YLR231C/YDR050C/YFR055W/YPR006C/YMR272C/YJL088W/YLL062C/YBR218C/YDR511W/YEL071W/YDR253C/YML054C/YCR005C/YGL205W/YHR037W/YOR391C/YLR044C/YER043C/YIR033W/YPL231W/YJR009C/YNR001C/YJR137C/YHR067W/YBR112C/YKR009C/YLR446W/YNL239W/YGR204W/YOR344C/YHR205W/YNL103W/YNL117W/YIL051C/YLL027W/YGR124W/YFR049W/YGL184C/YCR037C/YMR207C/YDL021W/YPL280W/YLR153C/YPL061W/YDR148C/YGL148W/YOR363C/YEL020C/YGR240C/YAL044C/YGL196W/YGL009C/YJL130C/YDR452W/YER010C/YLR174W/YNR016C/YOR100C/YCL009C/YHR033W/YGR256W/YIR023W/YML099C/YDL015C/YIL009W/YMR169C/YLL058W/YJL060W/YER040W/YJR024C/YKL106W/YJR019C/YLR351C/YOL056W/YER061C/YOR040W/YOL058W/YIL020C/YER055C/YJR078W/YOL140W/YHR208W/YJR148W/YPR128C/YER073W/YML076C/YPL273W/YNL229C/YOR347C/YJL097W/YDR539W/YJL012C/YEL046C/YPR002W/YHR025W/YLR380W/YDR354W/YOR388C/YPR118W/YML123C/YKL055C/YPR001W/YNL202W",154
"GO:0006082","GO:0006082","organic acid metabolic process","154/1759","368/5557",0.418478260869565,1.32204871839237,4.35051036059448,1.30169157308542e-05,0.0035536179945232,0.00333644103206632,"YJL052W/YGL055W/YGR087C/YCR012W/YPL095C/YHR174W/YKL001C/YPR167C/YAL038W/YKL060C/YMR280C/YOL126C/YPL111W/YLR142W/YKR034W/YLR303W/YKR069W/YPR035W/YHR183W/YNL277W/YKL152C/YOL002C/YJR010W/YBL015W/YER065C/YGL253W/YCL018W/YDR089W/YAL012W/YIR017C/YKL085W/YMR246W/YCL064C/YMR009W/YLR438W/YLR134W/YGR254W/YMR170C/YIR031C/YPL262W/YPL075W/YBR196C/YJL196C/YOL136C/YER052C/YOR374W/YIL074C/YFL018C/YKL182W/YGL062W/YNL037C/YLR231C/YDR050C/YFR055W/YPR006C/YMR272C/YJL088W/YLL062C/YBR218C/YDR511W/YEL071W/YDR253C/YML054C/YCR005C/YGL205W/YHR037W/YOR391C/YLR044C/YER043C/YIR033W/YPL231W/YJR009C/YNR001C/YJR137C/YHR067W/YBR112C/YKR009C/YLR446W/YNL239W/YGR204W/YOR344C/YHR205W/YNL103W/YNL117W/YIL051C/YLL027W/YGR124W/YFR049W/YGL184C/YCR037C/YMR207C/YDL021W/YPL280W/YLR153C/YPL061W/YDR148C/YGL148W/YOR363C/YEL020C/YGR240C/YAL044C/YGL196W/YGL009C/YJL130C/YDR452W/YER010C/YLR174W/YNR016C/YOR100C/YCL009C/YHR033W/YGR256W/YIR023W/YML099C/YDL015C/YIL009W/YMR169C/YLL058W/YJL060W/YER040W/YJR024C/YKL106W/YJR019C/YLR351C/YOL056W/YER061C/YOR040W/YOL058W/YIL020C/YER055C/YJR078W/YOL140W/YHR208W/YJR148W/YPR128C/YER073W/YML076C/YPL273W/YNL229C/YOR347C/YJL097W/YDR539W/YJL012C/YEL046C/YPR002W/YHR025W/YLR380W/YDR354W/YOR388C/YPR118W/YML123C/YKL055C/YPR001W/YNL202W",154
"GO:0019752","GO:0019752","carboxylic acid metabolic process","146/1759","349/5557",0.418338108882521,1.32160595284831,4.22316318019698,2.25618584054735e-05,0.00527947486688079,0.00495682332787921,"YJL052W/YGL055W/YGR087C/YCR012W/YPL095C/YHR174W/YKL001C/YPR167C/YAL038W/YKL060C/YMR280C/YOL126C/YPL111W/YLR142W/YLR303W/YKR069W/YPR035W/YHR183W/YNL277W/YKL152C/YOL002C/YJR010W/YBL015W/YER065C/YGL253W/YCL018W/YAL012W/YIR017C/YKL085W/YMR246W/YCL064C/YMR009W/YLR438W/YLR134W/YGR254W/YMR170C/YIR031C/YPL262W/YPL075W/YBR196C/YJL196C/YOL136C/YER052C/YOR374W/YIL074C/YFL018C/YKL182W/YGL062W/YNL037C/YLR231C/YDR050C/YFR055W/YPR006C/YMR272C/YJL088W/YLL062C/YBR218C/YDR511W/YEL071W/YDR253C/YML054C/YCR005C/YGL205W/YHR037W/YOR391C/YLR044C/YER043C/YIR033W/YPL231W/YJR009C/YNR001C/YJR137C/YHR067W/YBR112C/YKR009C/YLR446W/YNL239W/YGR204W/YOR344C/YHR205W/YNL103W/YNL117W/YIL051C/YLL027W/YGR124W/YFR049W/YGL184C/YMR207C/YDL021W/YPL280W/YLR153C/YPL061W/YDR148C/YGL148W/YOR363C/YEL020C/YGR240C/YAL044C/YGL196W/YGL009C/YJL130C/YER010C/YLR174W/YNR016C/YOR100C/YCL009C/YHR033W/YGR256W/YIR023W/YML099C/YDL015C/YIL009W/YMR169C/YLL058W/YJL060W/YJR024C/YKL106W/YJR019C/YLR351C/YOL056W/YER061C/YOR040W/YOL058W/YIL020C/YER055C/YJR078W/YOL140W/YHR208W/YJR148W/YPR128C/YER073W/YML076C/YPL273W/YOR347C/YJL097W/YDR539W/YEL046C/YPR002W/YHR025W/YLR380W/YDR354W/YOR388C/YPR118W/YKL055C/YPR001W/YNL202W",146
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","32/1759","56/5557",0.571428571428571,1.80524648745229,4.1213413662686,6.616416063999e-05,0.013547111891038,0.012719189301977,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YPL271W/YJL116C/YKL152C/YKL016C/YGL253W/YML081C-A/YGR254W/YDR322C-A/YOL077W-A/YPL075W/YJR121W/YBR196C/YOL136C/YDR050C/YBL099W/YPL078C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YLR295C/YPR020W/YOL056W/YOR347C/YBR127C/YBR252W",32
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","31/1759","54/5557",0.574074074074074,1.81360411007938,4.08833820576748,7.61420640487113e-05,0.0135709093603691,0.0127415324050506,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YPL271W/YJL116C/YKL152C/YKL016C/YGL253W/YML081C-A/YGR254W/YDR322C-A/YOL077W-A/YPL075W/YJR121W/YBR196C/YOL136C/YDR050C/YBL099W/YPL078C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YLR295C/YPR020W/YOL056W/YOR347C/YBR127C",31
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","36/1759","66/5557",0.545454545454545,1.72318982893173,4.02193561096152,8.9842556984972e-05,0.0135709093603691,0.0127415324050506,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YPL271W/YJL116C/YKL152C/YKL016C/YGL253W/YML081C-A/YGR254W/YDR322C-A/YOL077W-A/YPL075W/YJR121W/YBR196C/YOL136C/YDR050C/YBL099W/YPL078C/YCR026C/YJR009C/YLR446W/YOR344C/YNR012W/YDL021W/YGR240C/YLR295C/YPR020W/YOL056W/YER005W/YOR347C/YBR127C/YBR252W/YOR074C",36
