"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005576","GO:0005576","extracellular region","58/1759","106/5559",0.547169811320755,1.7292308022354,5.15704096351253,5.88378548902637e-07,0.000198871949529091,0.000195093939899295,"YIR019C/YKL164C/YJL158C/YOR247W/YNR067C/YER065C/YJL159W/YKR013W/YOR003W/YNL327W/YER150W/YIL123W/YDR055W/YGR189C/YDR420W/YAL005C/YMR305C/YHR202W/YKL163W/YNL322C/YOL159C/YKL157W/YDR032C/YJR151C/YBR162C/YDR461W/YHR211W/YHR143W/YOL030W/YIL162W/YJL079C/YOR389W/YNL145W/YOR190W/YOR383C/YPL123C/YLR300W/YDL049C/YDR349C/YKR102W/YPR121W/YBR067C/YJL078C/YFR020W/YJR004C/YDR144C/YIL169C/YCR089W/YOR009W/YCR045C/YOL154W/YJR150C/YLR042C/YOR214C/YCL058C/YPL187W/YDR534C/YER011W",58
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","74/1759","151/5559",0.490066225165563,1.54876529033278,4.65111587142541,4.96721154075177e-06,0.00083945875038705,0.000823511387019373,"YOR045W/YHR005C-A/YCL057C-A/YNR022C/YJR045C/YML009C/YNL070W/YMR188C/YKL138C/YDR405W/YEL020W-A/YLR439W/YML091C/YLR204W/YPL118W/YJR135W-A/YDR296W/YJR113C/YMR089C/YNL121C/YJL096W/YIR024C/YDL202W/YBR268W/YBR262C/YBL038W/YDL045W-A/YNR017W/YMR193W/YFR011C/YBR122C/YPR166C/YJL063C/YLR099W-A/YKR016W/YNL252C/YPL063W/YOR232W/YGR076C/YKR085C/YPL029W/YPR133W-A/YGR084C/YPL013C/YER050C/YNL122C/YMR286W/YCR003W/YGR215W/YOR158W/YEL059C-A/YJR101W/YGL219C/YBR282W/YBR120C/YBR091C/YPR100W/YMR158W/YKL003C/YNL081C/YAL048C/YCR046C/YDL126C/YNR037C/YBR170C/YCR071C/YLL006W/YLR312W-A/YGR181W/YMR225C/YPL098C/YDR462W/YOL114C/YHR059W",74
"GO:0000313","GO:0000313","organellar ribosome","47/1759","89/5559",0.528089887640449,1.6689321690695,4.32796574296327,2.41983615329736e-05,0.00204476154953627,0.00200591681128597,"YNR022C/YML009C/YMR188C/YKL138C/YDR405W/YLR439W/YLR204W/YPL118W/YDR296W/YJR113C/YJL096W/YDL202W/YBR268W/YBL038W/YFR049W/YDL045W-A/YMR193W/YBR122C/YPR166C/YJL063C/YNL252C/YGR076C/YKR085C/YGR084C/YPL013C/YER050C/YNL122C/YMR286W/YCR003W/YGR215W/YOR158W/YJR101W/YBR282W/YBR120C/YPR100W/YMR158W/YKL003C/YNL081C/YDR197W/YCR046C/YNR037C/YCR071C/YLR312W-A/YMR225C/YDR462W/YOL114C/YHR059W",47
"GO:0005761","GO:0005761","mitochondrial ribosome","47/1759","89/5559",0.528089887640449,1.6689321690695,4.32796574296327,2.41983615329736e-05,0.00204476154953627,0.00200591681128597,"YNR022C/YML009C/YMR188C/YKL138C/YDR405W/YLR439W/YLR204W/YPL118W/YDR296W/YJR113C/YJL096W/YDL202W/YBR268W/YBL038W/YFR049W/YDL045W-A/YMR193W/YBR122C/YPR166C/YJL063C/YNL252C/YGR076C/YKR085C/YGR084C/YPL013C/YER050C/YNL122C/YMR286W/YCR003W/YGR215W/YOR158W/YJR101W/YBR282W/YBR120C/YPR100W/YMR158W/YKL003C/YNL081C/YDR197W/YCR046C/YNR037C/YCR071C/YLR312W-A/YMR225C/YDR462W/YOL114C/YHR059W",47
"GO:0000322","GO:0000322","storage vacuole","167/1759","413/5559",0.404358353510896,1.27790112971408,3.99328990065184,5.46096587301915e-05,0.00263686637868639,0.00258677330827223,"YIR019C/YJR152W/YNR072W/YOR273C/YJL158C/YGR125W/YOR247W/YHR174W/YKR039W/YMR319C/YDL210W/YCR032W/YJL116C/YMR088C/YOL002C/YNL101W/YDR089W/YNL176C/YDR536W/YGR254W/YKR093W/YKR013W/YLR447C/YOR003W/YER056C/YNL327W/YPR194C/YOR381W/YGR138C/YJL172W/YHL008C/YDR055W/YGR260W/YCR011C/YBR286W/YNL305C/YJR161C/YDL130W/YPL006W/YLR178C/YNL065W/YMR155W/YAL005C/YKL217W/YMR221C/YHR186C/YMR251W-A/YJR066W/YHR215W/YML104C/YJR138W/YPL265W/YHR202W/YNL129W/YDR119W/YHL048W/YEL065W/YHR028C/YJL151C/YIL166C/YJR137C/YBR235W/YCR098C/YOL138C/YHR205W/YIR028W/YGL156W/YNL322C/YBR162C/YPL163C/YLR299W/YIL088C/YCL038C/YDR525W-A/YNR055C/YLR173W/YKL203C/YGL186C/YPR156C/YKL103C/YHR143W/YML121W/YML012W/YDR452W/YCR028C/YIL162W/YOL019W/YDL206W/YJL079C/YLR194C/YGR197C/YCR023C/YHR039C-A/YMR231W/YOL075C/YGL257C/YOR190W/YIL089W/YCL005W-A/YOR008C/YHL036W/YBR097W/YOR288C/YOR383C/YPL123C/YDR352W/YDR284C/YOR049C/YAR027W/YLR300W/YDR506C/YDL049C/YCL048W-A/YLR361C/YDR281C/YGR141W/YPL236C/YDR438W/YLR240W/YFR021W/YLR332W/YNL058C/YBR074W/YOL132W/YIL158W/YBR132C/YBR127C/YBL042C/YHR175W/YJL097W/YLR443W/YNR028W/YOR328W/YBR021W/YKR103W/YNL320W/YNR061C/YMR058W/YJR004C/YDR144C/YHL040C/YJL012C/YOR009W/YBR290W/YLL051C/YOL154W/YOL092W/YLR343W/YLR413W/YOR104W/YCR044C/YGL212W/YGL263W/YDR107C/YDR229W/YNL180C/YDR495C/YCR075C/YLR042C/YML123C/YMR063W/YOR214C/YMR244W/YJR124C/YMR195W/YIL117C/YER011W",167
"GO:0000323","GO:0000323","lytic vacuole","167/1759","413/5559",0.404358353510896,1.27790112971408,3.99328990065184,5.46096587301915e-05,0.00263686637868639,0.00258677330827223,"YIR019C/YJR152W/YNR072W/YOR273C/YJL158C/YGR125W/YOR247W/YHR174W/YKR039W/YMR319C/YDL210W/YCR032W/YJL116C/YMR088C/YOL002C/YNL101W/YDR089W/YNL176C/YDR536W/YGR254W/YKR093W/YKR013W/YLR447C/YOR003W/YER056C/YNL327W/YPR194C/YOR381W/YGR138C/YJL172W/YHL008C/YDR055W/YGR260W/YCR011C/YBR286W/YNL305C/YJR161C/YDL130W/YPL006W/YLR178C/YNL065W/YMR155W/YAL005C/YKL217W/YMR221C/YHR186C/YMR251W-A/YJR066W/YHR215W/YML104C/YJR138W/YPL265W/YHR202W/YNL129W/YDR119W/YHL048W/YEL065W/YHR028C/YJL151C/YIL166C/YJR137C/YBR235W/YCR098C/YOL138C/YHR205W/YIR028W/YGL156W/YNL322C/YBR162C/YPL163C/YLR299W/YIL088C/YCL038C/YDR525W-A/YNR055C/YLR173W/YKL203C/YGL186C/YPR156C/YKL103C/YHR143W/YML121W/YML012W/YDR452W/YCR028C/YIL162W/YOL019W/YDL206W/YJL079C/YLR194C/YGR197C/YCR023C/YHR039C-A/YMR231W/YOL075C/YGL257C/YOR190W/YIL089W/YCL005W-A/YOR008C/YHL036W/YBR097W/YOR288C/YOR383C/YPL123C/YDR352W/YDR284C/YOR049C/YAR027W/YLR300W/YDR506C/YDL049C/YCL048W-A/YLR361C/YDR281C/YGR141W/YPL236C/YDR438W/YLR240W/YFR021W/YLR332W/YNL058C/YBR074W/YOL132W/YIL158W/YBR132C/YBR127C/YBL042C/YHR175W/YJL097W/YLR443W/YNR028W/YOR328W/YBR021W/YKR103W/YNL320W/YNR061C/YMR058W/YJR004C/YDR144C/YHL040C/YJL012C/YOR009W/YBR290W/YLL051C/YOL154W/YOL092W/YLR343W/YLR413W/YOR104W/YCR044C/YGL212W/YGL263W/YDR107C/YDR229W/YNL180C/YDR495C/YCR075C/YLR042C/YML123C/YMR063W/YOR214C/YMR244W/YJR124C/YMR195W/YIL117C/YER011W",167
"GO:0000324","GO:0000324","fungal-type vacuole","167/1759","413/5559",0.404358353510896,1.27790112971408,3.99328990065184,5.46096587301915e-05,0.00263686637868639,0.00258677330827223,"YIR019C/YJR152W/YNR072W/YOR273C/YJL158C/YGR125W/YOR247W/YHR174W/YKR039W/YMR319C/YDL210W/YCR032W/YJL116C/YMR088C/YOL002C/YNL101W/YDR089W/YNL176C/YDR536W/YGR254W/YKR093W/YKR013W/YLR447C/YOR003W/YER056C/YNL327W/YPR194C/YOR381W/YGR138C/YJL172W/YHL008C/YDR055W/YGR260W/YCR011C/YBR286W/YNL305C/YJR161C/YDL130W/YPL006W/YLR178C/YNL065W/YMR155W/YAL005C/YKL217W/YMR221C/YHR186C/YMR251W-A/YJR066W/YHR215W/YML104C/YJR138W/YPL265W/YHR202W/YNL129W/YDR119W/YHL048W/YEL065W/YHR028C/YJL151C/YIL166C/YJR137C/YBR235W/YCR098C/YOL138C/YHR205W/YIR028W/YGL156W/YNL322C/YBR162C/YPL163C/YLR299W/YIL088C/YCL038C/YDR525W-A/YNR055C/YLR173W/YKL203C/YGL186C/YPR156C/YKL103C/YHR143W/YML121W/YML012W/YDR452W/YCR028C/YIL162W/YOL019W/YDL206W/YJL079C/YLR194C/YGR197C/YCR023C/YHR039C-A/YMR231W/YOL075C/YGL257C/YOR190W/YIL089W/YCL005W-A/YOR008C/YHL036W/YBR097W/YOR288C/YOR383C/YPL123C/YDR352W/YDR284C/YOR049C/YAR027W/YLR300W/YDR506C/YDL049C/YCL048W-A/YLR361C/YDR281C/YGR141W/YPL236C/YDR438W/YLR240W/YFR021W/YLR332W/YNL058C/YBR074W/YOL132W/YIL158W/YBR132C/YBR127C/YBL042C/YHR175W/YJL097W/YLR443W/YNR028W/YOR328W/YBR021W/YKR103W/YNL320W/YNR061C/YMR058W/YJR004C/YDR144C/YHL040C/YJL012C/YOR009W/YBR290W/YLL051C/YOL154W/YOL092W/YLR343W/YLR413W/YOR104W/YCR044C/YGL212W/YGL263W/YDR107C/YDR229W/YNL180C/YDR495C/YCR075C/YLR042C/YML123C/YMR063W/YOR214C/YMR244W/YJR124C/YMR195W/YIL117C/YER011W",167
"GO:0005618","GO:0005618","cell wall","50/1759","100/5559",0.5,1.58015918135304,3.98282307938315,8.85041589657978e-05,0.00328770997149181,0.00322525269704118,"YJL052W/YKL164C/YJL158C/YOR247W/YNR067C/YJL116C/YJL159W/YNL327W/YER150W/YIL123W/YDR055W/YGR189C/YAL005C/YLR314C/YHR215W/YMR305C/YJR009C/YJR092W/YKL163W/YNL322C/YJR151C/YBR162C/YPL163C/YHR211W/YHR143W/YOR394W/YOL030W/YLR194C/YOR190W/YOR383C/YLR300W/YDR349C/YKR102W/YBR067C/YJL078C/YOL132W/YJR004C/YDR144C/YIL169C/YCR089W/YOR009W/YCR045C/YOL154W/YLR343W/YJR150C/YLR042C/YOR214C/YDR534C/YER011W/YDR218C",50
"GO:0009277","GO:0009277","fungal-type cell wall","50/1759","100/5559",0.5,1.58015918135304,3.98282307938315,8.85041589657978e-05,0.00328770997149181,0.00322525269704118,"YJL052W/YKL164C/YJL158C/YOR247W/YNR067C/YJL116C/YJL159W/YNL327W/YER150W/YIL123W/YDR055W/YGR189C/YAL005C/YLR314C/YHR215W/YMR305C/YJR009C/YJR092W/YKL163W/YNL322C/YJR151C/YBR162C/YPL163C/YHR211W/YHR143W/YOR394W/YOL030W/YLR194C/YOR190W/YOR383C/YLR300W/YDR349C/YKR102W/YBR067C/YJL078C/YOL132W/YJR004C/YDR144C/YIL169C/YCR089W/YOR009W/YCR045C/YOL154W/YLR343W/YJR150C/YLR042C/YOR214C/YDR534C/YER011W/YDR218C",50
"GO:0005773","GO:0005773","vacuole","191/1759","485/5559",0.393814432989691,1.244578984076,3.8354397702965,9.72695257837815e-05,0.00328770997149181,0.00322525269704118,"YIR019C/YJR152W/YNR072W/YOR273C/YJL158C/YGR125W/YOR247W/YKR075C/YHR174W/YKR039W/YMR319C/YDL210W/YCR032W/YJL116C/YMR088C/YOL002C/YER065C/YNL101W/YDR089W/YNL176C/YDR536W/YGR254W/YKR093W/YKR013W/YLR447C/YOR003W/YER056C/YNL327W/YPR194C/YOR381W/YGR138C/YJL172W/YHL008C/YNR043W/YDR055W/YGR260W/YCR011C/YBR286W/YNL305C/YJR161C/YDL130W/YPL006W/YLR178C/YNL065W/YMR155W/YAL005C/YKL217W/YMR221C/YHR186C/YMR251W-A/YJR066W/YPL028W/YEL062W/YHR215W/YML104C/YJR138W/YPL265W/YHR202W/YNL129W/YDR119W/YHL048W/YEL065W/YHR028C/YJL151C/YIL166C/YJR137C/YBR235W/YCR098C/YOL138C/YHR205W/YJL137C/YCR068W/YIR028W/YGL156W/YNL322C/YBR162C/YPL163C/YLR299W/YIL088C/YCL038C/YDR525W-A/YNR055C/YLR173W/YKL203C/YKR058W/YGL186C/YPR156C/YKL103C/YHR143W/YEL027W/YML121W/YML012W/YDR452W/YCR028C/YIL162W/YKL176C/YHL023C/YOL019W/YIL146C/YDL206W/YJL079C/YLR194C/YGR197C/YCR023C/YHR039C-A/YMR231W/YOL075C/YGL257C/YOR190W/YIL089W/YCL005W-A/YOR008C/YHL036W/YOR062C/YBR097W/YML116W/YEL064C/YOR288C/YOR383C/YPL123C/YDR352W/YDR284C/YOR049C/YAR027W/YLR300W/YDR506C/YIL156W-B/YDL049C/YGR071C/YCL048W-A/YLR361C/YDR281C/YGR141W/YPL236C/YHL002W/YDR438W/YLR240W/YFR021W/YGR152C/YLR332W/YNL058C/YAR042W/YBR074W/YOL132W/YIL158W/YBR132C/YBR127C/YBL042C/YHR175W/YJL097W/YLR443W/YNR028W/YOR328W/YBR021W/YKR103W/YNL320W/YNR061C/YMR058W/YJR004C/YDR144C/YHL040C/YJL012C/YOR009W/YDR131C/YBR290W/YDR034W-B/YLL051C/YOL154W/YOL092W/YLR343W/YLR413W/YOR104W/YCR044C/YGL212W/YGL263W/YDR107C/YDR229W/YNL180C/YDR495C/YCR075C/YLR042C/YML123C/YMR063W/YOR214C/YMR244W/YKR105C/YJR124C/YMR195W/YIL117C/YJL058C/YER011W",191
