"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009261","GO:0009261","ribonucleotide catabolic process",33,-0.775115199430141,-2.72775826899052,1e-10,9.83846153846154e-09,7.51417004048583e-09,613,"tags=64%, list=11%, signal=57%","YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process",31,-0.788573723059826,-2.72476853382557,1e-10,9.83846153846154e-09,7.51417004048583e-09,613,"tags=68%, list=11%, signal=61%","YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process",35,-0.772987633465014,-2.72271653212525,1e-10,9.83846153846154e-09,7.51417004048583e-09,613,"tags=60%, list=11%, signal=54%","YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process",38,-0.757470633339924,-2.71609267024851,1e-10,9.83846153846154e-09,7.51417004048583e-09,613,"tags=55%, list=11%, signal=50%","YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0072523","GO:0072523","purine-containing compound catabolic process",46,-0.721863649376404,-2.70604752078977,1e-10,9.83846153846154e-09,7.51417004048583e-09,685,"tags=57%, list=12%, signal=50%","YDR400W/YMR323W/YJR009C/YDR050C/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YER043C/YHR202W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YIR027C/YNL141W/YDL238C/YAL038W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0046434","GO:0046434","organophosphate catabolic process",63,-0.662592721724732,-2.66703113516312,1e-10,9.83846153846154e-09,7.51417004048583e-09,613,"tags=46%, list=11%, signal=41%","YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YBR242W/YPL206C/YPL110C/YGL101W/YOR347C/YLR446W/YKR031C/YBR196C/YHR046C/YGR254W/YHR202W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YCR068W/YGL253W/YHR174W/YCR012W/YJL052W"
"GO:0032543","GO:0032543","mitochondrial translation",133,0.587575755863101,2.45803313600643,1e-10,9.83846153846154e-09,7.51417004048583e-09,1474,"tags=59%, list=26%, signal=44%","YKL138C/YNR022C/YDR405W/YML009C/YMR188C/YLR439W/YGR076C/YDL045W-A/YMR193W/YML129C/YER050C/YDL202W/YOL027C/YJL102W/YJL096W/YLR204W/YPL013C/YJR113C/YBR120C/YNL122C/YCR003W/YMR158W/YPR166C/YGR215W/YBL038W/YBR268W/YPL118W/YBR282W/YOR158W/YKR085C/YNR037C/YJL062W-A/YMR286W/YNL252C/YCR071C/YOL114C/YJL063C/YKL003C/YPR100W/YGR084C/YIL051C/YHR038W/YBR122C/YCR046C/YNL081C/YDR462W/YMR225C/YHR059W/YDR197W/YMR097C/YLR312W-A/YJR101W/YDR194C/YDR336W/YNL185C/YDR237W/YNR036C/YDR116C/YDR041W/YDR337W/YJL131C/YDR494W/YOR187W/YHR147C/YGR222W/YLR203C/YKL170W/YBR251W/YPL173W/YBR185C/YPR047W/YGL068W/YBL090W/YDR115W/YML025C/YPL183W-A/YNL284C/YGR220C"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",172,-0.511733242830442,-2.4112411441339,1e-10,9.83846153846154e-09,7.51417004048583e-09,722,"tags=36%, list=13%, signal=32%","YOR040W/YNL202W/YEL020C/YOR388C/YER061C/YGR256W/YPR128C/YMR323W/YDL015C/YJR009C/YMR207C/YDR050C/YIR023W/YER010C/YDL021W/YKL055C/YKR009C/YGR240C/YNR016C/YJR019C/YML054C/YIL009W/YMR272C/YOR363C/YOR347C/YLR044C/YLR446W/YBR196C/YIR033W/YOR100C/YLR153C/YGR254W/YPL231W/YOR344C/YOL056W/YKL152C/YOR391C/YPL075W/YKL060C/YGL205W/YKL182W/YOL136C/YLR134W/YJL196C/YHR183W/YIR031C/YAL038W/YMR170C/YHR067W/YOL002C/YLR231C/YCL018W/YMR246W/YGL253W/YHR174W/YFR055W/YPL095C/YCR012W/YPL280W/YGL055W/YJL052W/YEL071W"
"GO:0008610","GO:0008610","lipid biosynthetic process",231,-0.455140729142386,-2.24072423992221,1e-10,9.83846153846154e-09,7.51417004048583e-09,1194,"tags=42%, list=21%, signal=34%","YDR434W/YML008C/YCL004W/YBR026C/YOR221C/YGR007W/YJL062W/YNL054W/YPL175W/YDR017C/YHL003C/YBL039C/YML126C/YLR305C/YER125W/YIL039W/YPL076W/YDR287W/YIL002C/YLR386W/YPL221W/YDR072C/YDR147W/YLR088W/YGR046W/YPL031C/YOR149C/YBR042C/YHR190W/YLR459W/YMR220W/YBR265W/YFL025C/YJL153C/YOR109W/YLR228C/YLR240W/YLL031C/YGR038W/YOR171C/YNL169C/YAL053W/YLR133W/YER061C/YLR347C/YCR044C/YDL015C/YMR013C/YCL052C/YNL280C/YMR207C/YNL264C/YKL055C/YAL009W/YGL142C/YHR123W/YNR016C/YMR208W/YBR029C/YHR205W/YGL012W/YMR272C/YGR149W/YMR202W/YKL008C/YJR066W/YLR450W/YGR143W/YNL130C/YKR031C/YCR017C/YIR033W/YLR100W/YHR046C/YGL139W/YHR072W/YER043C/YPL231W/YKR070W/YPL028W/YDR123C/YNR043W/YGR036C/YKL182W/YJL196C/YHR007C/YGL001C/YGR157W/YGR175C/YLR056W/YNL111C/YML075C/YHR067W/YGR060W/YMR015C/YPL095C/YGL055W"
"GO:0006629","GO:0006629","lipid metabolic process",351,-0.429551986790581,-2.22829905939499,1e-10,9.83846153846154e-09,7.51417004048583e-09,1199,"tags=40%, list=22%, signal=33%","YIL102C-A/YDR434W/YML008C/YCL004W/YBR026C/YOR221C/YGR007W/YOR081C/YJL062W/YNL054W/YPL175W/YDR017C/YHL003C/YBL039C/YML126C/YLR305C/YOL065C/YBR222C/YLR284C/YER125W/YDL109C/YLL012W/YIL039W/YPL076W/YNL009W/YDR287W/YNR019W/YNL128W/YIL002C/YLR386W/YBR041W/YPL221W/YDR072C/YDR147W/YLR088W/YKL051W/YGR046W/YPL031C/YOR149C/YBR042C/YHR190W/YLR459W/YMR220W/YBR265W/YFL025C/YJL153C/YOR109W/YLR228C/YJR107W/YLR240W/YLL031C/YJL083W/YDR284C/YNL087W/YGR038W/YOR171C/YPL103C/YNL169C/YNL202W/YAL053W/YEL020C/YLR133W/YER061C/YLR347C/YPR128C/YCR044C/YDL015C/YMR013C/YCL052C/YNL280C/YGR233C/YMR207C/YNL264C/YHR001W/YKL212W/YER005W/YKL055C/YKR019C/YAL009W/YGL142C/YKR009C/YDL237W/YGL144C/YHR123W/YPL206C/YNR016C/YMR208W/YBR029C/YHR205W/YPL110C/YJR019C/YGL012W/YIL009W/YMR272C/YGR149W/YMR202W/YKL008C/YOR363C/YJR066W/YLR450W/YGR143W/YCR048W/YNL130C/YOR093C/YKR031C/YCR017C/YIR033W/YOR100C/YLR100W/YHR046C/YGL139W/YHR072W/YER043C/YPR147C/YPL231W/YPL006W/YKR070W/YPL028W/YDR123C/YNR043W/YGR036C/YGL205W/YKL182W/YJL196C/YHR007C/YGL001C/YGR157W/YGR175C/YLR056W/YNL111C/YML075C/YHR067W/YOL002C/YGR060W/YCR068W/YMR246W/YMR015C/YPL095C/YGL055W"
