"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"sce01110","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","126/437","366/2207",0.344262295081967,1.73864275799977,7.68608055720633,2.63977622924428e-13,2.58676830498987e-11,2.04218550393937e-11,"YGR087C/YCR105W/YKR097W/YGR088W/YLR377C/YJL052W/YIL155C/YPL262W/YIL053W/YPL111W/YMR118C/YCR012W/YFR015C/YAL012W/YLR446W/YNR001C/YDL055C/YLR174W/YLR303W/YOL126C/YLR044C/YGR256W/YAL060W/YOL086C/YDR074W/YMR250W/YGR248W/YOR274W/YDR032C/YAL061W/YKL152C/YLR164W/YER065C/YPR035W/YKR031C/YER052C/YOR393W/YER062C/YKL060C/YHL032C/YBR196C/YPR006C/YPR026W/YIL162W/YPL061W/YJR009C/YNL037C/YLR142W/YMR170C/YOL059W/YOL058W/YDR050C/YDL022W/YAL038W/YDL168W/YCL018W/YOR136W/YML075C/YPR001W/YGL205W/YHR174W/YGR060W/YER037W/YGR043C/YIL074C/YMR169C/YGR124W/YDR354W/YMR207C/YBR117C/YNL117W/YGL148W/YDR487C/YLR372W/YJR148W/YLL062C/YPR184W/YCL064C/YJR010W/YER003C/YDR226W/YER055C/YGR244C/YDL021W/YBR052C/YKL035W/YGR175C/YKR089C/YML070W/YLR058C/YJL200C/YMR278W/YLR134W/YNL241C/YER141W/YOR095C/YDL166C/YIL160C/YOR128C/YBR208C/YBR256C/YHR208W/YGR240C/YNL277W/YLR438W/YGL001C/YGL012W/YOR176W/YOR081C/YMR015C/YKR058W/YLR304C/YPL273W/YNR034W/YCR068W/YFR055W/YFL053W/YGL009C/YJR019C/YGL234W/YKL127W/YHR137W/YCR034W/YOR347C/YMR323W/YER170W",126
"sce03010","Genetic Information Processing","Translation","sce03010","Ribosome","83/437","205/2207",0.404878048780488,2.04477312050008,7.8023193852575,5.17353660997975e-13,2.58676830498987e-11,2.04218550393937e-11,"YNCL0027W/YJR094W-A/YBR189W/YJL190C/YDR500C/YHR141C/YDL081C/YHR010W/YML063W/YGR085C/YNL302C/YER131W/YMR194W/YER074W/YPR043W/YGL076C/YML024W/YLR075W/YFR032C-A/YER117W/YOR312C/YIL052C/YGL068W/YDL130W/YDR471W/YIL148W/YML026C/YNL096C/YKR094C/YER102W/YOL121C/YGL031C/YGR148C/YDL075W/YFR049W/YPL090C/YLR264W/YNL178W/YMR143W/YPL079W/YDR447C/YDL191W/YEL054C/YGL147C/YBR191W/YFR031C-A/YML009C/YNCL0014C/YPL249C-A/YLR009W/YLR287C-A/YOL120C/YNL069C/YOR096W/YBR181C/YOR369C/YGL103W/YMR158W/YNL067W/YPR102C/YLR448W/YDR064W/YER056C-A/YDL184C/YOR293W/YIL069C/YLR325C/YBR268W/YMR242C/YLR312W-A/YBR048W/YKL006W/YDR041W/YDL082W/YNL081C/YJL096W/YPL013C/YOL039W/YNCL0018W/YDL045W-A/YJL189W/YER050C/YDR405W",83
"sce01200","Metabolism","Global and overview maps","sce01200","Carbon metabolism","50/437","112/2207",0.446428571428571,2.25461752206603,6.76994570519553,7.13355908201928e-10,2.37785302733976e-08,1.87725239000507e-08,"YKR097W/YGR088W/YLR377C/YJL052W/YPR002W/YKR009C/YPL262W/YMR118C/YCR012W/YLR446W/YNR001C/YLR174W/YLR303W/YOL126C/YGR256W/YGR248W/YKL152C/YLR164W/YER065C/YGL062W/YOR393W/YKL060C/YBR196C/YPR006C/YJR009C/YNL037C/YDR050C/YAL038W/YDL168W/YOR136W/YPR001W/YGL205W/YHR174W/YGR043C/YIL074C/YBR117C/YNL117W/YCL064C/YGR244C/YDL021W/YML070W/YLR058C/YNL241C/YOR095C/YGR240C/YLR304C/YNR034W/YFL053W/YOR347C/YMR323W",50
"sce00010","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","28/437","54/2207",0.518518518518518,2.61869649970336,5.98269870613495,1.02169272160481e-07,2.55423180401203e-06,2.01649879264107e-06,"YGR087C/YCR105W/YKR097W/YLR377C/YJL052W/YCR012W/YLR446W/YLR044C/YOL086C/YKL152C/YOR393W/YKL060C/YBR196C/YPL061W/YJR009C/YMR170C/YDR050C/YAL038W/YDL168W/YHR174W/YMR169C/YDL021W/YMR278W/YLR134W/YGR240C/YKL127W/YOR347C/YMR323W",28
"sce00190","Metabolism","Energy metabolism","sce00190","Oxidative phosphorylation","29/437","69/2207",0.420289855072464,2.12260803236826,4.70658254246963,1.46462202793272e-05,0.000292924405586543,0.000231256109673587,"YMR145C/YMR118C/YKL016C/YDR322C-A/YJR048W/YLR164W/YDL004W/YNL052W/YPL271W/YGL187C/YJR121W/YDL067C/YDR529C/YPL078C/YIL111W/YLR295C/YHR051W/YPR191W/YML081C-A/YLL009C/YLR038C/YLR395C/YER141W/YGL008C/YPR020W/YDL085W/YOL077W-A/YMR256C/YPL036W",29
"sce01230","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","43/437","124/2207",0.346774193548387,1.75132870746291,4.27812066795909,4.55067310521483e-05,0.00075018056547755,0.000592247814850697,"YJL052W/YPL111W/YCR012W/YAL012W/YNR001C/YLR174W/YLR303W/YKL152C/YPR035W/YGL062W/YER052C/YOR393W/YKL060C/YJR009C/YNL037C/YOL058W/YDR050C/YAL038W/YCL018W/YOR136W/YPR001W/YHR174W/YGR043C/YIL074C/YGR124W/YDR354W/YBR117C/YGL148W/YJR148W/YCL064C/YER055C/YDL021W/YLR058C/YJL200C/YOR095C/YHR208W/YGR240C/YNL277W/YLR304C/YFR055W/YGL009C/YOR347C/YMR323W",43
"sce00051","Metabolism","Carbohydrate metabolism","sce00051","Fructose and mannose metabolism","13/437","22/2207",0.590909090909091,2.98429373829832,4.6467405139492,5.25126395834285e-05,0.00075018056547755,0.000592247814850697,"YNR073C/YLR377C/YLR446W/YDL055C/YKL060C/YDR050C/YEL070W/YER003C/YML070W/YJR159W/YOL136C/YGR240C/YFL053W",13
"sce00680","Metabolism","Energy metabolism","sce00680","Methane metabolism","13/437","25/2207",0.52,2.62617848970252,4.062259684307,0.000305010592358503,0.00381263240448129,0.00300997295090628,"YLR377C/YKL152C/YOR393W/YKL060C/YDL168W/YHR174W/YIL074C/YDL021W/YML070W/YLR058C/YGR240C/YFL053W/YMR323W",13
"sce00710","Metabolism","Energy metabolism","sce00710","Carbon fixation by Calvin cycle","11/437","21/2207",0.523809523809524,2.64541789255748,3.76372274427921,0.000834586558484391,0.0092731839831599,0.00732093472354729,"YKR097W/YLR377C/YJL052W/YCR012W/YOL126C/YKL060C/YJR009C/YDR050C/YGR043C/YBR117C/YOR095C",11
"sce00030","Metabolism","Carbohydrate metabolism","sce00030","Pentose phosphate pathway","13/437","28/2207",0.464285714285714,2.34480222294868,3.55766997219877,0.00122273152821406,0.0122273152821406,0.00965314364379517,"YLR377C/YGR256W/YGR248W/YKL060C/YBR196C/YGR043C/YBR117C/YMR278W/YNL241C/YOR095C/YGR240C/YNR034W/YKL127W",13
