"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"sce01200","Metabolism","Global and overview maps","sce01200","Carbon metabolism","61/670","112/2207",0.544642857142857,1.79406982942431,5.69349462139295,4.31836525636189e-08,3.39926941092774e-06,2.73426834444039e-06,"YJL052W/YCR012W/YGR088W/YHR174W/YKR097W/YAL038W/YKL060C/YBR117C/YOL126C/YLR303W/YHR183W/YKL152C/YER065C/YGL253W/YLR377C/YDL168W/YKL085W/YKL148C/YCL064C/YGR254W/YIR031C/YPL262W/YBR196C/YGR043C/YIL074C/YFL018C/YGL062W/YNL037C/YDR050C/YPR006C/YBR218C/YCR005C/YPL028W/YGL205W/YJL045W/YJR009C/YLR164W/YNR001C/YKR009C/YLR446W/YNL241C/YKL181W/YNL117W/YDL021W/YLR153C/YDR148C/YGR240C/YAL044C/YOL061W/YLR174W/YGR256W/YML070W/YKL106W/YOL056W/YER099C/YOR347C/YPR002W/YHL011C/YOR388C/YFL053W/YPR001W",61
"sce01110","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","155/670","366/2207",0.423497267759563,1.39501264170949,5.46170029242806,6.41371586967499e-08,3.39926941092774e-06,2.73426834444039e-06,"YJL052W/YGR087C/YCR012W/YGR088W/YGR060W/YHR174W/YKR097W/YAL038W/YKL060C/YFR015C/YBR117C/YOL126C/YPL111W/YLR142W/YLR303W/YKR069W/YIL155C/YPR035W/YHR183W/YNL277W/YKL152C/YJR010W/YMR015C/YHL032C/YER065C/YGL253W/YLR377C/YDL168W/YBR052C/YMR105C/YCL018W/YAL012W/YKL085W/YOL086C/YKL148C/YCL064C/YLR056W/YLR438W/YLR134W/YML075C/YGR254W/YMR170C/YOR274W/YIL053W/YHR007C/YIR031C/YBR208C/YPL262W/YLR258W/YBR196C/YJL196C/YGR157W/YBR256C/YGR175C/YER052C/YGL001C/YOR374W/YMR303C/YGR043C/YIL074C/YNR043W/YFL018C/YNL037C/YDR050C/YFR055W/YPR006C/YHR072W/YKR031C/YJL088W/YLL062C/YEL011W/YCR005C/YPL028W/YGL205W/YDL055C/YLR044C/YJL045W/YJR009C/YLR164W/YNR001C/YLR100W/YER141W/YLR446W/YNL241C/YKL181W/YJL137C/YCR068W/YNL117W/YGR124W/YGL184C/YMR207C/YDR032C/YDL021W/YLR153C/YPL061W/YDR148C/YGL148W/YKR058W/YGR240C/YAL044C/YGL009C/YOL061W/YJL130C/YIL162W/YMR202W/YLR174W/YNR016C/YAL061W/YBR029C/YPR184W/YCL009C/YHR033W/YGR256W/YML070W/YHR046C/YGL012W/YLR450W/YDL015C/YMR169C/YLL058W/YKL106W/YJR019C/YDR284C/YDL205C/YOL056W/YER005W/YOL058W/YDL090C/YCR105W/YIL020C/YER055C/YOL140W/YMR208W/YHR208W/YJR148W/YNL169C/YKL019W/YER073W/YPL273W/YER099C/YOR347C/YJL097W/YHR123W/YDR539W/YEL046C/YMR318C/YHR025W/YNL280C/YDR354W/YHL011C/YFL053W/YGL256W/YKL055C/YPR001W/YBR213W",155
"sce00010","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","35/670","54/2207",0.648148148148148,2.13501934770591,5.5741846534868,1.27833673947192e-07,4.51678981280079e-06,3.63316757534125e-06,"YJL052W/YGR087C/YCR012W/YHR174W/YKR097W/YAL038W/YKL060C/YKL152C/YGL253W/YLR377C/YDL168W/YMR105C/YOL086C/YLR134W/YGR254W/YMR170C/YBR196C/YOR374W/YMR303C/YFL018C/YDR050C/YLR044C/YJR009C/YLR446W/YDL021W/YLR153C/YPL061W/YGR240C/YMR169C/YOL056W/YCR105W/YER073W/YOR347C/YMR318C/YGL256W",35
"sce00620","Metabolism","Carbohydrate metabolism","sce00620","Pyruvate metabolism","32/670","51/2207",0.627450980392157,2.06684225929178,5.08819962811272,1.34023036365205e-06,3.55161046367793e-05,2.85680682778463e-05,"YKR097W/YAL038W/YOL126C/YBL015W/YDL168W/YKL085W/YOL086C/YMR170C/YIR031C/YPL262W/YOR374W/YMR303C/YFL018C/YGL062W/YBR218C/YEL071W/YML054C/YPL028W/YOR391C/YNL117W/YMR207C/YPL280W/YLR153C/YPL061W/YNR016C/YMR169C/YOR040W/YCR105W/YER073W/YOR347C/YMR318C/YGL256W",32
"sce00051","Metabolism","Carbohydrate metabolism","sce00051","Fructose and mannose metabolism","15/670","22/2207",0.681818181818182,2.24592944369064,3.87687939253846,0.000264937565316879,0.00561667638471782,0.00451788269277203,"YNR073C/YKL060C/YGL253W/YLR377C/YEL070W/YJR159W/YOL136C/YIL107C/YDR050C/YDL055C/YJL155C/YLR446W/YGR240C/YML070W/YFL053W",15
"sce01212","Metabolism","Global and overview maps","sce01212","Fatty acid metabolism","15/670","23/2207",0.652173913043478,2.14828033744322,3.65417002593383,0.000550282737143201,0.00972166168952989,0.00781980731729812,"YGL055W/YMR246W/YJL196C/YKL182W/YPL028W/YGL205W/YPL231W/YHR067W/YMR207C/YNR016C/YDL015C/YIL009W/YER061C/YJL097W/YKL055C",15
"sce01230","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","54/670","124/2207",0.435483870967742,1.43449687048628,3.28742672945122,0.000951868767209592,0.0144140127606024,0.0115941909990943,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YBR117C/YPL111W/YLR303W/YPR035W/YNL277W/YKL152C/YCL018W/YAL012W/YCL064C/YGR254W/YER052C/YGR043C/YIL074C/YGL062W/YNL037C/YDR050C/YFR055W/YJL088W/YBR218C/YCR005C/YJR009C/YNR001C/YKL181W/YGR124W/YGL184C/YDL021W/YGL148W/YGR240C/YGL009C/YOL061W/YLR174W/YCL009C/YHR033W/YLL058W/YKL106W/YOL056W/YOL058W/YIL020C/YER055C/YOL140W/YHR208W/YJR148W/YER099C/YOR347C/YEL046C/YHR025W/YDR354W/YHL011C/YPR001W",54
"sce03050","Genetic Information Processing","Folding, sorting and degradation","sce03050","Proteasome","20/670","36/2207",0.555555555555556,1.83001658374793,3.31444891714604,0.00132807186951899,0.0145979468372718,0.0117421419445781,"YPR103W/YHR027C/YDL007W/YFR004W/YIL075C/YBR173C/YDR363W-A/YBL041W/YGL011C/YGL048C/YFR052W/YOR261C/YHR200W/YGR253C/YDR394W/YDR427W/YOL038W/YOR157C/YGR135W/YIL007C",20
"sce00071","Metabolism","Lipid metabolism","sce00071","Fatty acid degradation","13/670","20/2207",0.65,2.14111940298507,3.38395763967026,0.00137716479596904,0.0145979468372718,0.0117421419445781,"YDL168W/YOL086C/YMR246W/YMR170C/YOR374W/YMR303C/YPL028W/YGL205W/YPL061W/YIL009W/YMR169C/YER073W/YGL256W",13
"sce00380","Metabolism","Amino acid metabolism","sce00380","Tryptophan metabolism","13/670","20/2207",0.65,2.14111940298507,3.38395763967026,0.00137716479596904,0.0145979468372718,0.0117421419445781,"YGR088W/YMR170C/YOR374W/YFL018C/YLR231C/YDR242W/YPL028W/YPL061W/YDR148C/YMR169C/YJL060W/YJR078W/YER073W",13
"sce00100","Metabolism","Lipid metabolism","sce00100","Steroid biosynthesis","12/670","18/2207",0.666666666666667,2.19601990049751,3.3632178499558,0.00153748722085835,0.0148157859464532,0.0119173650611987,"YGR060W/YMR015C/YLR056W/YHR007C/YGR175C/YGL001C/YHR072W/YLR100W/YMR202W/YGL012W/YNL280C/YCR048W",12
"sce00190","Metabolism","Energy metabolism","sce00190","Oxidative phosphorylation","32/670","69/2207",0.463768115942029,1.5276660177374,2.9395648296143,0.00321979468490134,0.0284415197166285,0.0228774885506148,"YMR145C/YPL271W/YDR529C/YKL016C/YPR191W/YML081C-A/YKL148C/YOR065W/YDR322C-A/YOL077W-A/YLR447C/YJR121W/YLL009C/YGL008C/YBL099W/YPL078C/YJL166W/YEL039C/YJL045W/YLR164W/YER141W/YFR033C/YDL067C/YMR256C/YEL027W/YLR295C/YHR039C-A/YCL005W-A/YDL085W/YPR020W/YBR127C/YPL036W",32
"sce00061","Metabolism","Lipid metabolism","sce00061","Fatty acid biosynthesis","9/670","13/2207",0.692307692307692,2.2804822043628,3.05654035005341,0.00430049908371543,0.0323270404805324,0.0260028826109545,"YMR246W/YKL182W/YPL231W/YHR067W/YMR207C/YNR016C/YIL009W/YER061C/YKL055C",9
"sce00630","Metabolism","Carbohydrate metabolism","sce00630","Glyoxylate and dicarboxylate metabolism","16/670","29/2207",0.551724137931034,1.81739577972208,2.92486397889425,0.00443228551914533,0.0323270404805324,0.0260028826109545,"YGR088W/YOL126C/YPR035W/YER065C/YKL085W/YIR031C/YFL018C/YPR006C/YCR005C/YPL028W/YNR001C/YNL117W/YLR153C/YAL044C/YOR388C/YPR001W",16
"sce00270","Metabolism","Amino acid metabolism","sce00270","Cysteine and methionine metabolism","22/670","44/2207",0.5,1.64701492537313,2.86164396362918,0.00457458120007534,0.0323270404805324,0.0260028826109545,"YOL126C/YLR303W/YNL277W/YAL012W/YKL085W/YCL064C/YMR009W/YER052C/YIL074C/YFR055W/YJL101C/YLL062C/YER043C/YGL184C/YLL058W/YJR024C/YKL106W/YHR208W/YJR148W/YPL273W/YHR025W/YPR118W",22
"sce00680","Metabolism","Energy metabolism","sce00680","Methane metabolism","14/670","25/2207",0.56,1.84465671641791,2.80366482277279,0.00645546919782418,0.0427674834355852,0.0344008555936683,"YHR174W/YKL060C/YKL152C/YLR377C/YDL168W/YGR254W/YIL074C/YDL021W/YLR153C/YGR240C/YML070W/YOL056W/YOR388C/YFL053W",14
